v,t,distance,rating,car_or_bus
19.2105856218409,0.138048888888889,2.652,3,car
30.848229110141002,0.17148472222222194,5.29,3,car
13.5601009375705,0.0676986111111111,0.918,3,bus
19.7666790267834,0.389544444444444,7.7,3,bus
25.8074009208982,0.154800555555556,3.995,2,car
1.34691332363334,0.00668194444444444,0.009000000000000001,2,car
36.8507874006155,0.22800055555555604,8.402000000000001,3,car
17.4051312905583,0.0387816666666667,0.675,3,bus
15.395436139699699,0.526844444444444,8.111,3,bus
8.90272943762594,0.00303277777777778,0.027000000000000003,2,bus
15.041348024653301,0.217866111111111,3.277,3,car
14.440098123715401,0.268142222222222,3.872,3,car
16.3567325479505,0.0770325,1.26,2,bus
17.5427999490819,0.333869166666667,5.857,2,bus
9.451815572371991,0.276772222222222,2.616,2,car
9.451815572371991,0.276772222222222,2.616,2,car
16.2635039490851,0.4509483333333329,7.334,2,car
21.2235944272772,0.28972472222222195,6.149,3,car
19.4236545402881,0.236567222222222,4.595,2,bus
20.7996291423591,0.425440277777778,8.849,3,bus
8.72437241694035,1.94294777777778,16.951,1,bus
8.72437241694035,1.94294777777778,16.951,1,bus
8.68613764219664,0.502409722222222,4.364,3,car
54.9959473181491,1.01407472222222,55.77,3,car
54.9959473181491,1.01407472222222,55.77,3,car
12.611044809338699,0.579095555555556,7.303,2,bus
14.534287200101199,0.0790544444444444,1.149,3,car
10.2882266731803,0.318422222222222,3.276,3,car
18.328189136729602,0.130945833333333,2.4,3,car
17.1776350229212,0.166088055555556,2.853,3,car
17.0978233675256,0.133233333333333,2.278,3,car
32.520702119913395,0.203716388888889,6.625,3,car
19.934809873383998,0.32912277777777804,6.561,3,car
21.513801773291107,0.6572525,14.14,2,car
27.5257702575601,0.29238055555555603,8.048,3,car
28.104520679060997,0.276574722222222,7.773,3,car
22.322462499663402,0.0825177777777778,1.842,3,car
22.322462499663402,0.0825177777777778,1.842,3,car
32.3773039972723,0.166196666666667,5.381,3,car
22.377924518791104,0.3471725,7.769,2,car
24.908255870418202,0.26485194444444393,6.597,2,car
37.1409017347196,0.5008494444444439,18.602,3,bus
37.1409017347196,0.5008494444444439,18.602,3,bus
72.92675452038,0.00906388888888889,0.6609999999999999,1,bus
0.0663753526190608,0.0150658333333333,0.001,2,car
83.32813505783359,0.0837172222222222,6.976,3,car
83.32813505783359,0.0837172222222222,6.976,3,car
96.20602881735728,0.350695277777778,33.739000000000004,2,bus
3.23767476085357,0.0101925,0.033,2,bus
0.582100412321125,0.0034358333333333307,0.002,2,bus
1.3868378812199,0.00432638888888889,0.006,2,bus
0.18086513824460296,0.0331738888888889,0.006,2,bus
0.187306514971514,0.0320330555555556,0.006,2,bus
2.7403516784654,0.0036491666666666703,0.01,2,bus
1.55177191415992,0.00902194444444445,0.014,2,bus
0.891614214585237,0.0325252777777778,0.029,2,bus
1.2619744642138,0.133124722222222,0.168,2,bus
19.8334720520812,0.509290555555556,10.101,3,car
16.8934214662962,0.563710555555556,9.523,3,car
20.5827023203105,0.4931811111111111,10.151,3,car
0.307454685867442,0.4586041666666671,0.141,2,car
0.307454685867442,0.4586041666666671,0.141,2,car
21.671743715060398,0.24894166666666695,5.395,3,car
21.671743715060398,0.24894166666666695,5.395,3,car
33.2011779795367,0.10460472222222196,3.4730000000000003,3,car
33.2011779795367,0.10460472222222196,3.4730000000000003,3,car
26.895589231351398,0.230483888888889,6.199,3,car
26.895589231351398,0.230483888888889,6.199,3,car
31.085331330521694,0.240402777777778,7.473,3,car
31.085331330521694,0.240402777777778,7.473,3,car
0.461929548480813,0.11473611111111097,0.053,2,car
0.777134962438477,0.0193016666666667,0.015,2,car
1.28318369631319,0.35536611111111105,0.456,2,car
1.48769112698506,0.00470527777777778,0.006999999999999999,2,car
23.0511917163542,0.31837833333333304,7.338999999999999,3,car
21.2391801941645,0.4751125,10.091,3,car
21.3008271746005,0.443175277777778,9.44,3,car
24.430593510802805,0.416649722222222,10.179,3,car
0.637205734851614,0.00470805555555556,0.003,2,bus
17.927771315043106,0.0212519444444444,0.381,3,car
0.196122416279442,0.0866805555555556,0.017,1,bus
0.0358392609147971,0.0558047222222222,0.002,1,bus
1.03398755385352,0.00290138888888889,0.003,3,bus
8.98564792345559,0.00400638888888889,0.036000000000000004,1,bus
0.7276843467011641,0.0137422222222222,0.01,3,car
3.45644242463035,0.004339722222222221,0.015,3,bus
1.58068057080132,0.00506111111111111,0.008,3,bus
0.254912373871482,0.0235375,0.006,2,car
0.919540229885058,0.002175,0.002,2,car
1.0229088971763498,0.007820833333333329,0.008,3,bus
0.0601222485720966,0.0166327777777778,0.001,3,car
0.0669367155853642,0.104576388888889,0.006999999999999999,3,car
13.468798526444099,0.2949780555555561,3.973,3,car
0.125918420126597,0.26207444444444394,0.033,2,car
23.784876752305998,0.266513888888889,6.339,1,bus
24.003004419964,0.288463888888889,6.924,3,bus
21.195493325348497,0.310773611111111,6.5870000000000015,3,bus
21.195493325348497,0.310773611111111,6.5870000000000015,3,bus
20.3702468927379,0.3916005555555561,7.977,3,bus
2.87800872909554,0.0128561111111111,0.037000000000000005,1,bus
18.793595434369106,0.12616,2.371,3,bus
18.793595434369106,0.12616,2.371,3,bus
14.900391846751301,0.462269722222222,6.888,3,bus
14.900391846751301,0.462269722222222,6.888,3,bus
25.5547121629502,0.442071111111111,11.297,3,bus
6.76963371457903,0.16884222222222198,1.143,3,car
22.4681840403171,0.3699008333333329,8.311,3,car
13.532219442872698,0.467846388888889,6.331,1,bus
17.9720982129203,0.454092777777778,8.161,3,bus
14.7120528108936,1.27915527777778,18.819000000000006,2,car
29.5409544460097,0.213940277777778,6.32,3,bus
15.6202167120987,0.330469166666667,5.162000000000001,3,bus
0.009779393188652641,0.3067675,0.003,1,bus
16.7788951880074,0.193099722222222,3.24,1,bus
4.87144790257104,0.00862166666666667,0.042,3,bus
4.87144790257104,0.00862166666666667,0.042,3,bus
0.366662786637178,0.0190911111111111,0.006999999999999999,2,car
0.559217096065508,0.05007,0.028,3,bus
4.68039003250271,0.0038458333333333296,0.018000000000000002,3,bus
1.60135225301366,0.00624472222222222,0.01,3,bus
18.7052756317992,0.436935555555556,8.173,1,bus
1.83416125334352,0.00218083333333333,0.004,3,bus
13.5582998412167,0.5305975,7.194,2,car
0.102032140124139,0.00980083333333333,0.001,3,bus
0.17718394102157894,0.214466388888889,0.038,3,bus
25.957602520528894,0.5374533333333329,13.951,2,car
25.957602520528894,0.5374533333333329,13.951,2,car
1.4140938015555,0.0035358333333333296,0.005,3,car
16.685368043088,0.4456,7.435,3,bus
10.941289087428201,0.7660888888888892,8.382,3,bus
30.397044645473798,0.8047163888888891,24.461,3,car
6.759735823274879,0.4878888888888889,3.298,2,car
25.654938414407606,0.35661750000000003,9.149,2,car
17.6544921328944,0.525588611111111,9.279,1,car
24.5047380202986,0.19804333333333304,4.853,1,bus
11.5665726177222,0.441358055555556,5.105,1,bus
14.630896360136699,0.7667336111111109,11.218,2,car
0.39847567242769705,0.0175669444444444,0.006999999999999999,3,bus
9.076858607636039,0.512401944444444,4.651,2,car
25.4513325533673,0.19397805555555608,4.937,3,car
25.4513325533673,0.19397805555555608,4.937,3,car
19.3767939170255,0.351399722222222,6.809,1,bus
7.1380678780250095,0.580829444444444,4.146,3,bus
1.78318709312199,0.00392555555555556,0.006999999999999999,3,bus
0.172012210205695,0.459269722222222,0.079,3,bus
1.31161192942279,0.0160108333333333,0.021,3,bus
23.1993918615228,0.234230277777778,5.434,3,bus
23.5029280217167,0.159426944444444,3.747,3,bus
1.4451421176245,0.0927244444444444,0.134,3,bus
0.5362462760675271,0.0223777777777778,0.012,3,bus
